,Order Id,Column,Timestamp,Size,Price,Fees,Side
69,69,BAJFINANCE.NS,2018-01-22,140.0,171.39999389648438,0.0,Sell
70,70,SCI.NS,2018-01-22,263.0,89.05000305175781,0.0,Sell
71,71,BAJAJFINSV.NS,2018-01-22,44.0,500.0,0.0,Sell
72,72,PIIND.NS,2018-01-22,23.0,997.1500244140624,0.0,Buy
73,73,APARINDS.NS,2018-01-22,28.0,830.0,0.0,Buy
74,74,INDIACEM.NS,2018-01-22,127.0,185.3999938964844,0.0,Buy
75,75,KNRCON.NS,2018-01-22,153.0,153.9499969482422,0.0,Buy
76,76,BATAINDIA.NS,2018-01-29,37.0,713.0,0.0,Sell
77,77,POLYMED.NS,2018-01-29,99.0,261.70001220703125,0.0,Sell
78,78,BHARTIARTL.NS,2018-01-29,55.0,400.1582336425781,0.0,Sell
79,79,TORNTPHARM.NS,2018-01-29,35.0,710.0250244140625,0.0,Buy
80,80,ZENSARTECH.NS,2018-01-29,137.0,183.3999938964844,0.0,Buy
81,81,BIOCON.NS,2018-01-29,82.0,306.5,0.0,Buy
82,82,IGL.NS,2018-02-05,199.0,140.22500610351562,0.0,Sell
83,83,JPPOWER.NS,2018-02-05,4201.0,6.25,0.0,Sell
84,84,JSL.NS,2018-02-05,262.0,99.6999969482422,0.0,Sell
85,85,GVT&D.NS,2018-02-05,64.0,401.7999877929688,0.0,Sell
86,86,GRASIM.NS,2018-02-05,21.0,1105.6038818359375,0.0,Sell
87,87,CERA.NS,2018-02-05,7.0,3211.75,0.0,Sell
88,88,RCF.NS,2018-02-05,255.0,85.8499984741211,0.0,Sell
89,89,APARINDS.NS,2018-02-05,28.0,710.0,0.0,Sell
90,90,INDIACEM.NS,2018-02-05,127.0,149.0,0.0,Sell
91,91,TTML.NS,2018-02-05,2552.0,6.267384052276611,0.0,Sell
92,92,SUPREMEIND.NS,2018-02-05,18.0,1221.0,0.0,Buy
93,93,LT.NS,2018-02-05,16.0,1380.0,0.0,Buy
94,94,M&M.NS,2018-02-05,29.0,762.9000244140625,0.0,Buy
95,95,JUBLPHARMA.NS,2018-02-05,34.0,654.45751953125,0.0,Buy
96,96,ECLERX.NS,2018-02-05,24.0,943.3333129882812,0.0,Buy
97,97,JINDALSTEL.NS,2018-02-05,95.0,239.0,0.0,Buy
98,98,SWANENERGY.NS,2018-02-05,112.0,202.8999938964844,0.0,Buy
99,99,SAIL.NS,2018-02-05,282.0,81.0,0.0,Buy
100,100,DBREALTY.NS,2018-02-05,408.0,56.0,0.0,Buy
101,101,JWL.NS,2018-02-05,1386.0,16.5,0.0,Buy
102,102,AIAENG.NS,2018-02-12,18.0,1447.699951171875,0.0,Sell
103,103,BAJAJHLDNG.NS,2018-02-12,8.0,2682.050048828125,0.0,Sell
104,104,PIIND.NS,2018-02-12,23.0,819.0499877929688,0.0,Sell
105,105,NH.NS,2018-02-12,76.0,304.0,0.0,Buy
106,106,APOLLOTYRE.NS,2018-02-12,85.0,272.04998779296875,0.0,Buy
107,107,RPOWER.NS,2018-02-12,519.0,45.0,0.0,Buy
108,108,CGPOWER.NS,2018-02-19,275.0,84.3499984741211,0.0,Sell
109,109,ECLERX.NS,2018-02-19,24.0,880.6666870117188,0.0,Sell
110,110,FACT.NS,2018-02-19,453.0,46.5,0.0,Sell
111,111,MPHASIS.NS,2018-02-19,25.0,860.0999755859375,0.0,Buy
112,112,SIEMENS.NS,2018-02-19,17.0,1265.0999755859375,0.0,Buy
113,113,HCLTECH.NS,2018-02-19,46.0,468.9249877929688,0.0,Buy
114,114,DABUR.NS,2018-02-26,83.0,335.0,0.0,Sell
115,115,SUPREMEIND.NS,2018-02-26,18.0,1227.9000244140625,0.0,Sell
116,116,M&M.NS,2018-02-26,29.0,722.0,0.0,Sell
117,117,SIEMENS.NS,2018-02-26,17.0,1175.0,0.0,Sell
118,118,BLUEDART.NS,2018-02-26,4.0,4248.0,0.0,Sell
119,119,LTTS.NS,2018-02-26,15.0,1401.0,0.0,Buy
120,120,ICICIPRULI.NS,2018-02-26,53.0,410.0,0.0,Buy
121,121,GODREJCP.NS,2018-02-26,31.0,701.3333129882812,0.0,Buy
122,122,BSOFT.NS,2018-02-26,168.0,129.548095703125,0.0,Buy
123,123,CHOLAFIN.NS,2018-02-26,77.0,283.5,0.0,Buy
124,124,TORNTPHARM.NS,2018-03-05,35.0,669.0,0.0,Sell
