Ticker,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,ACMESOLAR.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,3MINDIA.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ACC.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,ABB.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS,360ONE.NS
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-29,,,,,,,6444.7998046875,6612.0,6402.89990234375,6493.4501953125,6218.994140625,725,1400.1500244140625,1431.0,1397.949951171875,1425.9000244140625,1263.837646484375,254419,1162.05908203125,1208.3145751953125,1154.7962646484375,1169.322021484375,1121.5513916015625,162004,,,,,,
2015-01-05,,,,,,,6451.0,6649.64990234375,6205.0,6438.0498046875,6165.935546875,2376,1425.0,1439.75,1336.199951171875,1398.5,1239.5521240234375,1248746,1178.400634765625,1198.37353515625,1136.0035400390625,1148.4866943359375,1101.5675048828125,364168,,,,,,
2015-01-12,,,,,,,6494.35009765625,6650.0,6401.0,6565.9501953125,6288.4296875,2142,1400.0,1528.9000244140625,1390.0999755859375,1518.3499755859375,1345.7803955078125,2412061,1155.61328125,1183.8477783203125,1138.364013671875,1158.836181640625,1111.4940185546875,310343,,,,,,
2015-01-19,,,,,,,6571.75,6930.0,6470.5,6821.14990234375,6532.84326171875,6427,1521.9000244140625,1569.0,1510.5999755859375,1542.050048828125,1366.7864990234375,1880393,1162.967041015625,1197.2840576171875,1148.4412841796875,1176.947998046875,1128.865966796875,453777,,,,,,
2015-01-26,,,,,,,6821.14990234375,7157.5498046875,6699.89990234375,6812.7001953125,6524.75048828125,5915,1542.050048828125,1595.0,1503.6500244140625,1560.449951171875,1383.0953369140625,1990503,1176.947998046875,1227.4249267578125,1155.7041015625,1165.5997314453125,1117.9813232421875,388504,,,,,,
2015-02-02,,,,,,,6811.5498046875,6980.0,6700.0,6749.25,6463.982421875,3791,1554.9000244140625,1570.5,1481.449951171875,1507.199951171875,1335.8973388671875,2750334,1162.05908203125,1175.677001953125,1139.589599609375,1162.4676513671875,1114.97705078125,480245,,,,,,
2015-02-09,,,,,,,6701.14990234375,7199.9501953125,6500.0,7100.5,6800.38623046875,5118,1501.449951171875,1637.550048828125,1489.550048828125,1625.050048828125,1440.353271484375,2752859,1164.78271484375,1278.2196044921875,1130.4656982421875,1249.031982421875,1198.0050048828125,1062970,,,,,,
2015-02-16,,,,,,,7000.0,8274.900390625,7000.0,8205.2998046875,7858.490234375,9754,1632.4000244140625,1665.0,1600.0,1620.4000244140625,1436.231689453125,1425837,1252.844970703125,1385.6646728515625,1245.4459228515625,1284.9378662109375,1232.444091796875,690809,,,,,,
