Ticker,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX
Price,Open,High,Low,Close,Adj Close,Volume
2017-01-02,15.470000267028809,16.3799991607666,14.640000343322754,15.829999923706055,15.829999923706055,0
2017-01-03,15.829999923706055,16.420000076293945,14.899999618530273,15.960000038146973,15.960000038146973,0
2017-01-04,15.960000038146973,16.100000381469727,14.899999618530273,15.890000343322754,15.890000343322754,0
2017-01-05,15.890000343322754,15.890000343322754,14.449999809265137,15.050000190734863,15.050000190734863,0
2017-01-06,15.050000190734863,15.09000015258789,13.920000076293945,14.90999984741211,14.90999984741211,0
2017-01-09,14.90999984741211,15.640000343322754,13.819999694824219,15.479999542236328,15.479999542236328,0
2017-01-10,15.479999542236328,15.479999542236328,14.029999732971191,15.199999809265137,15.199999809265137,0
2017-01-11,15.199999809265137,15.199999809265137,13.539999961853027,14.8100004196167,14.8100004196167,0
2017-01-12,14.8100004196167,14.869999885559082,13.460000038146973,14.609999656677246,14.609999656677246,0
2017-01-13,14.609999656677246,14.649999618530273,13.380000114440918,14.380000114440918,14.380000114440918,0
2017-01-16,14.380000114440918,15.25,13.430000305175781,15.069999694824219,15.069999694824219,0
2017-01-17,15.069999694824219,15.619999885559082,13.979999542236328,15.390000343322754,15.390000343322754,0
2017-01-18,15.390000343322754,15.390000343322754,13.609999656677246,15.180000305175781,15.180000305175781,0
2017-01-19,15.180000305175781,15.279999732971191,14.039999961853027,15.020000457763672,15.020000457763672,0
2017-01-20,15.020000457763672,15.869999885559082,13.850000381469727,15.789999961853027,15.789999961853027,0
2017-01-23,15.789999961853027,16.3700008392334,15.5,15.90999984741211,15.90999984741211,0
2017-01-24,15.90999984741211,15.960000038146973,14.390000343322754,15.289999961853027,15.289999961853027,0
2017-01-25,15.289999961853027,15.430000305175781,14.40999984741211,15.170000076293945,15.170000076293945,0
2017-01-27,15.170000076293945,16.1299991607666,14.930000305175781,16.010000228881836,16.010000228881836,0
2017-01-30,16.010000228881836,16.860000610351562,15.390000343322754,16.670000076293945,16.670000076293945,0
2017-01-31,16.670000076293945,17.09000015258789,15.710000038146973,16.829999923706055,16.829999923706055,0
