Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS
2018-02-08,114.14393341,405.10001,1131.8,1124.05,568.45001,3157.95,166.215,505.725,52.31661418,387.28942388,612.65002,300.0,436.09,2819.8,,1104.236464,472.17499,470.2375
2018-02-09,117.26964084,399.0,1122.7,1130.75,557.54999,3099.25,163.94,505.93501,52.09994773,380.71145974,621.40002,300.14999,438.76,2774.7949,,1104.53527,482.0,462.375
2018-02-12,121.26048671,403.35001,1151.55,1144.4,564.20001,3154.1001,164.38,523.54502,52.58328058,382.42352593,621.65002,300.64999,440.85,2790.14,,1127.792314,469.57501,469.1625
2018-02-14,122.48844101,413.0,1191.8,1139.15,543.90002,3109.75,166.995,518.9,53.53328296,391.79488494,616.15002,306.95001,436.66,2802.76,,1122.264408,468.899995,470.7875
2018-02-15,119.86508411,411.70001,1207.95,1135.45,543.70001,3143.5,167.705,513.03501,52.31661418,386.52351352,605.84998,308.10001,439.16,2834.0449,,1099.256369,469.850005,470.475
2018-02-16,115.98586485,405.45001,1141.85,1143.85,537.84998,3103.8999,167.525,505.825,51.89994793,378.18841055,611.09998,303.5,442.71,2732.815,,1095.670701,468.54999,469.65
2018-02-19,113.25087016,393.85001,1186.2,1120.35,540.54999,3030.6001,164.27,500.075,51.06661543,373.36756722,600.40002,305.39999,430.4,2708.95,,1085.361904,457.100005,469.55
2018-02-20,110.51588663,394.89999,1199.25,1126.4,531.70001,3049.8501,163.875,501.42998,51.24994858,376.74666301,603.45001,310.39999,432.73,2691.64,,1114.196654,453.725005,465.8
2018-02-21,110.18098442,395.60001,1211.2,1127.2,535.79999,3012.6001,159.645,497.34502,50.28328622,378.14333792,597.25,310.54999,433.18,2736.575,,1106.178701,471.45001,464.35
2018-02-22,113.47414016,404.0,1246.45,1118.1,530.25,2974.3,160.035,495.18501,48.84995099,374.94447859,589.65002,311.54999,424.69,2686.85,,1105.979498,470.5,463.3
2018-02-23,114.06021483,406.5,1231.6,1101.8,536.65002,2986.3999,163.34,501.96499,50.31661619,383.45978197,595.65002,310.95001,433.41,2672.44,,1132.174797,477.79999,470.1375
2018-02-26,114.75791614,415.04999,1235.55,1104.8,552.29999,3008.7,167.495,519.29502,51.73328143,381.29716066,590.09998,314.04999,438.76,2718.5949,,1175.900031,473.024995,477.8875
2018-02-27,115.56724407,410.45001,1196.7,1110.35,538.40002,3034.7,165.68,512.13501,50.94995222,387.92019744,586.5,309.0,447.2,2715.465,,1167.284467,474.95001,475.6375
2018-02-28,113.61368042,408.35001,1203.05,1117.75,528.75,3020.6001,164.025,505.17002,51.44995171,386.16305861,589.65002,309.14999,447.45,2743.775,,1148.111101,470.149995,471.05
2018-03-01,111.15776624,406.10001,1183.5,1118.9,525.75,3020.8999,165.935,499.93999,51.09994873,385.44219385,581.70001,312.89999,446.3,2774.235,,1161.955765,471.399995,468.5875
2018-03-05,112.13454807,403.95001,1167.9,1105.95,524.54999,2943.55,163.695,503.74502,51.84994798,379.76532192,579.25,305.79999,436.16,2754.835,,1137.204693,466.04999,467.4875
2018-03-06,103.92958631,405.25,1160.8,1101.6,517.34998,2899.2,163.775,498.06499,50.66661583,372.9620577,584.09998,307.0,435.29,2748.8449,,1129.435745,466.399995,461.5625
2018-03-07,96.1153317,376.95001,1152.35,1107.25,512.65002,2903.8999,161.835,483.61499,49.44995372,363.32038905,580.20001,306.95001,429.92,2752.815,,1110.461583,474.774995,458.15
2018-03-08,94.30130831,387.95001,1162.7,1127.6,520.54999,2923.8999,162.805,486.46001,49.08328409,361.60829582,578.0,305.5,428.68,2771.185,,1096.268312,475.32501,463.2125
2018-03-09,87.12894448,377.89999,1149.05,1129.1,505.35001,2935.3999,165.42,496.625,49.48328369,362.3742242,571.04999,304.04999,425.98,2796.385,,1095.969507,471.5,462.7625
2018-03-12,90.56162932,386.60001,1129.65,1131.5,519.20001,2957.75,166.525,504.00498,50.04994645,379.85541312,580.65002,297.64999,429.68,2831.69,,1101.597014,483.82501,466.8125
2018-03-13,89.16622671,385.20001,1095.9,1140.3,531.5,2971.75,168.07,509.83999,50.51661598,384.13560113,578.75,294.85001,436.3,2884.935,,1104.784275,478.5,465.0625
2018-03-14,91.39887088,382.10001,1090.15,1137.0,536.15002,2950.55,171.01,511.16001,50.38327945,380.80157797,577.90002,293.10001,436.29,2884.665,,1117.284313,482.524995,466.125
2018-03-15,93.24080233,382.14999,1096.0,1160.8,529.65002,2948.75,172.625,503.45,50.43328273,378.86422971,571.15002,295.5,436.55,2869.5551,,1103.539251,479.57501,470.2
2018-03-16,89.58484749,370.5,1071.65,1122.75,522.59998,2910.45,168.79,501.13501,49.73328344,375.53017952,559.40002,278.20001,428.43,2807.915,,1089.196577,483.79999,463.25
2018-03-19,89.64066918,364.29999,1056.2,1102.55,519.45001,2849.45,163.185,496.34502,49.51661699,360.12149367,559.75,272.29999,423.97,2740.3051,,1093.828066,463.25,461.8125
2018-03-20,89.83601996,370.0,1042.8,1106.5,521.09998,2873.0,165.73,508.08501,49.83328334,360.79731283,552.90002,270.25,431.43,2836.0449,,1091.736426,468.600005,459.875
2018-03-21,90.53372127,363.70001,1028.45,1103.55,526.29999,2851.8,170.455,513.15,49.44995372,376.83677223,551.04999,270.89999,428.34,2798.085,,1090.341999,468.67499,464.725
2018-03-22,88.9987784,358.25,1022.3,1107.1,518.20001,2834.95,169.56,511.98501,47.79994871,374.49393248,540.75,269.39999,421.66,2803.05,,1088.549165,465.274995,466.9375
2018-03-23,85.09165109,362.39999,1008.35,1112.65,499.5,2789.95,168.53,512.67002,46.6499532,371.88076507,538.40002,269.95001,414.46,2789.61,,1078.290169,478.70001,460.3875
2018-03-26,91.39887088,365.14999,1005.05,1117.55,507.29999,2848.6499,174.16,515.10498,47.64995219,379.81036752,541.79999,273.45001,420.8,2787.3051,,1076.298131,483.524995,473.3625
2018-03-27,89.24994528,365.5,1029.85,1131.1,512.20001,2798.3,177.245,525.89502,47.68328549,372.33131117,545.04999,276.20001,420.49,2842.41,,1084.515288,486.024995,473.15
