Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS
2017-08-14,62.65357714,386.20001,1068.25,1140.0,490.39999,2811.3501,170.495,530.95,55.30291976,379.35982142,565.29999,243.35001,396.4,3151.1449,,1093.678663,438.125,438.0375
2017-08-21,60.92327791,380.04999,1083.2,1135.6,506.85001,2728.55,176.01,550.625,56.95443161,390.12788237,574.04999,241.3,417.63,3075.09,,1129.933755,433.75,440.625
2017-08-28,76.24480413,394.89999,1090.55,1215.9,507.54999,2916.3501,179.995,549.52998,58.77260979,380.75650534,568.40002,238.64999,443.51,3177.24,,1166.089244,432.875,441.9
2017-09-04,71.22134916,385.89999,1093.05,1203.95,494.0,2915.45,189.12,559.475,57.01503452,363.5907077,552.0,255.0,432.5,3261.775,,1204.884184,429.75,446.9125
2017-09-11,72.92373476,405.14999,1061.05,1245.5,516.15002,3025.6001,190.275,567.45498,57.60594849,356.83251611,561.40002,259.79999,442.24,3200.7949,,1235.163162,443.524995,462.2375
2017-09-18,67.95610705,401.20001,1034.7,1213.25,505.29999,3042.45,186.315,523.16499,54.81806921,356.24681518,585.34998,253.8,491.55,3157.96,,1171.61715,442.225005,456.025
2017-09-25,64.91412937,376.75,1005.0,1131.7,509.14999,3109.3999,183.805,515.44502,54.26661222,350.93037113,586.09998,270.85001,465.75,3121.3301,,1129.435745,437.399995,451.425
2017-10-02,68.90498083,389.25,1063.5,1157.3,503.35001,3141.55,192.36,529.79502,55.39994442,344.48754379,585.40002,276.70001,475.17,3154.115,,1147.214684,453.95001,450.025
2017-10-09,66.89560107,408.20001,1075.7,1174.25,529.45001,3160.8501,195.305,537.525,56.99994281,388.28062531,592.84998,287.25,470.89,3139.925,,1142.583196,463.25,462.7
2017-10-16,70.10502707,401.39999,1058.1,1178.5,460.29999,3217.95,184.59,530.61001,57.43327571,426.89243562,607.79999,285.79999,474.61,3148.91,,1134.117034,461.149995,462.1
2017-10-23,72.53302761,432.04999,1026.55,1184.55,485.95001,3300.1499,181.9,503.39502,57.4499457,437.30004166,625.04999,289.14999,478.99,3181.175,,1181.975747,427.475005,447.7625
2017-10-30,78.42162662,434.85001,1022.7,1172.45,540.09998,3217.45,183.695,503.26001,60.9999388,487.71615996,640.09998,286.54999,483.82,3123.51,,1282.77287,423.57501,457.675
2017-11-06,87.29638163,432.04999,1000.25,1178.6,544.79999,3253.3501,174.5,502.74502,60.64993915,453.65488334,609.29999,284.35001,469.57,3055.165,,1241.139276,433.524995,455.5
2017-11-13,87.408025,400.95001,1054.85,1171.3,542.40002,3206.8501,178.735,512.975,59.5666069,444.68900682,608.54999,272.79999,464.52,3070.7449,,1172.214761,420.0,456.3875
2017-11-20,85.53817993,404.60001,1145.2,1159.6,545.5,3288.3,179.0,516.06001,61.54993492,447.66260211,615.70001,271.5,459.01,3081.235,,1196.81643,429.20001,462.85
2017-11-27,79.45423013,386.75,1148.25,1133.75,533.84998,3216.8999,171.16,509.88501,61.4999383,436.26378562,598.09998,272.04999,446.78,2928.0949,,1145.870059,415.0,462.05
2017-12-04,84.31022563,393.39999,1190.7,1135.5,542.5,3212.6499,170.225,512.51001,61.69994143,473.20859336,603.09998,264.85001,437.09,2899.9949,,1129.535347,435.225005,460.1
2017-12-11,86.62659396,401.35001,1198.1,1118.7,547.95001,3198.8,172.96,517.03501,59.98327315,466.72072042,576.45001,271.0,474.3,2947.8699,,1135.063252,445.899995,468.3625
2017-12-18,90.92442842,402.14999,1178.55,1138.0,553.59998,3328.95,178.245,542.81499,62.83327029,476.27227985,601.20001,265.89999,466.54,3025.075,,1129.634949,443.45001,469.1625
2017-12-25,92.85009518,405.64999,1204.8,1158.5,563.95001,3333.6001,175.67,523.03999,60.71660242,477.26350832,608.5,262.95001,482.84,3034.085,,1161.109149,445.25,468.1
2018-01-01,107.80879998,423.79999,1196.3,1185.25,563.25,3279.8501,181.45,512.72002,60.7666057,486.58979469,615.15002,278.75,494.68,2923.7,,1209.36627,450.024995,465.9
2018-01-08,111.60430066,423.29999,1163.35,1189.7,555.09998,3175.3501,177.01,505.72998,59.33327381,459.15152782,612.09998,309.0,489.53,2864.975,,1216.786611,462.95001,466.325
2018-01-15,111.4647604,433.45001,1139.4,1189.9,590.25,3210.3999,170.19,497.30498,57.58327556,448.65380354,602.75,284.0,498.07,2800.9449,,1218.679047,479.149995,488.05
2018-01-22,119.66972216,436.5,1133.7,1150.45,616.09998,3311.7,171.03,493.30498,58.96660417,407.92445356,621.40002,299.39999,501.55,2651.94,,1188.250667,504.775,493.7375
2018-01-29,110.06935779,417.95001,1156.95,1137.9,564.90002,3241.3,162.89,493.575,50.61661922,380.57630492,581.15002,290.35001,424.71,2781.175,,1124.356048,495.45001,487.0
2018-02-05,117.26964084,399.0,1122.7,1130.75,557.54999,3099.25,163.94,505.93501,52.09994773,380.71145974,621.40002,300.14999,438.76,2774.7949,,1104.53527,482.0,462.375
2018-02-12,115.98586485,405.45001,1141.85,1143.85,537.84998,3103.8999,167.525,505.825,51.89994793,378.18841055,611.09998,303.5,442.71,2732.815,,1095.670701,468.54999,469.65
2018-02-19,114.06021483,406.5,1231.6,1101.8,536.65002,2986.3999,163.34,501.96499,50.31661619,383.45978197,595.65002,310.95001,433.41,2672.44,,1132.174797,477.79999,470.1375
2018-02-26,111.15776624,406.10001,1183.5,1118.9,525.75,3020.8999,165.935,499.93999,51.09994873,385.44219385,581.70001,312.89999,446.3,2774.235,,1161.955765,471.399995,468.5875
2018-03-05,87.12894448,377.89999,1149.05,1129.1,505.35001,2935.3999,165.42,496.625,49.48328369,362.3742242,571.04999,304.04999,425.98,2796.385,,1095.969507,471.5,462.7625
2018-03-12,89.58484749,370.5,1071.65,1122.75,522.59998,2910.45,168.79,501.13501,49.73328344,375.53017952,559.40002,278.20001,428.43,2807.915,,1089.196577,483.79999,463.25
2018-03-19,85.09165109,362.39999,1008.35,1112.65,499.5,2789.95,168.53,512.67002,46.6499532,371.88076507,538.40002,269.95001,414.46,2789.61,,1078.290169,478.70001,460.3875
2018-03-26,87.29638163,354.10001,1064.65,1120.4,510.5,2744.7,176.755,517.15498,47.1499527,359.26547409,545.45001,283.29999,416.11,2837.265,,1046.716367,484.29999,471.525
2018-04-02,97.1966144,379.29999,1076.3,1143.5,500.20001,2786.3999,193.76,548.425,48.26661824,346.87545617,558.95001,275.79999,424.96,2979.915,,1080.282207,476.32501,480.85
2018-04-09,90.47884525,383.10001,1082.35,1162.2,542.54999,2786.2,191.435,531.67998,47.49995234,340.52273805,555.5,285.0,417.99,3135.3,,1059.415609,495.625,481.25
2018-04-16,89.37545111,381.14999,1134.0,1159.35,505.70001,2852.7,188.04,528.63501,44.09995576,362.23906938,589.04999,292.04999,424.38,3114.8699,,1096.417715,531.175,488.975
2018-04-23,92.03659381,402.45001,1072.4,1181.6,539.20001,2947.1499,190.115,543.525,44.39995545,368.32144182,599.84998,286.75,419.55,3159.9301,,1082.473449,520.825,480.85
2018-04-30,82.17089405,408.25,1101.4,1190.45,520.29999,2888.6499,185.74,534.80498,43.19995999,357.50833527,597.0,271.29999,421.32,2920.84,,1069.624804,464.92499,497.125
2018-05-07,82.94976508,412.70001,1044.9,1286.45,553.29999,2815.45,186.15,534.54502,42.61662391,348.36225832,573.70001,271.0,398.1,3087.3,,1096.367914,466.42499,502.9375
2018-05-14,76.97842049,389.5,1016.65,1308.35,532.90002,2787.5,214.96499,572.97998,40.48329272,325.60967996,533.04999,266.79999,396.4,3008.6199,,1058.618794,445.350005,503.0375
2018-05-21,81.0025875,379.89999,993.90002,1292.35,538.5,2758.5,211.6,607.17002,39.48329372,339.66671847,536.65002,275.60001,393.57,3020.3449,,1026.546982,458.0,502.175
2018-05-28,77.59502672,387.60001,927.09998,1293.05,536.65002,2896.55,207.73999,588.22002,37.13329608,345.74909091,524.5,294.64999,388.28,2986.875,,1024.604745,452.42499,527.65
2018-06-04,81.97617629,380.5,1018.4,1278.85,537.40002,2874.05,218.68501,602.55,39.51662702,340.20735578,559.65002,289.89999,412.58,2951.3,,1024.505143,464.350005,512.3375
2018-06-11,85.96789034,372.95001,1033.25,1282.2,528.75,2877.1499,228.36001,597.91001,38.94996092,340.83812934,611.59998,279.04999,469.97,2957.375,,1027.692404,474.149995,507.4
2018-06-18,84.60487252,365.79999,1021.45,1267.7,525.65002,2832.2,233.605,617.65,36.56662998,337.50407914,615.75,264.85001,467.25,2914.065,,1006.377598,452.399995,520.8375
2018-06-25,73.44104788,373.14999,1047.45,1264.45,510.79999,2810.3,229.63501,582.11001,36.21663033,344.17217954,616.65002,264.35001,447.01,2859.0449,,1002.84173,463.125,527.1125
2018-07-02,72.01311765,365.75,1016.75,1323.15,513.70001,3020.1001,234.57,605.85498,36.93329628,326.42065394,612.5,271.20001,453.81,2762.6301,,984.614572,471.95001,528.7875
2018-07-09,85.05920746,370.39999,974.84998,1367.8,523.5,3137.0,247.4,632.44502,34.66663189,323.44705865,626.70001,267.79999,463.97,2750.0,,930.281746,491.54999,545.225
2018-07-16,105.76419577,370.04999,929.54999,1396.45,533.70001,2839.6001,272.13501,666.39502,34.54996534,311.23724115,625.79999,263.5,410.38,2704.81,,935.361423,499.600005,547.2625
2018-07-23,127.15068975,394.64999,933.84998,1434.85,553.25,2686.75,271.37,692.72002,34.16663239,328.62833887,636.20001,262.14999,416.64,2894.6199,,1021.367684,481.725005,550.5375
2018-07-30,128.61107294,399.54999,970.5,1411.85,574.75,2690.45,268.13,694.31499,39.83329337,337.45903354,641.04999,279.25,456.21,2699.5699,,1002.194318,481.82501,530.4125
2018-08-06,129.26013213,379.29999,943.90002,1418.6,615.5,2629.7,280.845,708.38501,40.38329282,333.22389113,621.04999,275.79999,442.86,2899.7699,,967.483036,483.0,528.6125
2018-08-13,131.79146948,374.10001,1189.2,1400.65,627.29999,2661.3501,285.12,709.73501,39.18329402,334.66563867,646.90002,281.39999,472.83,2847.615,,1041.686471,501.525,519.3375
2018-08-20,135.52355985,376.75,1197.7,1393.5,639.90002,2682.25,291.66001,705.06499,39.16662737,332.45798077,651.20001,291.0,489.49,2886.9801,,1056.078946,511.675,517.4625
2018-08-27,146.2005836,383.14999,1182.7,1372.45,649.25,2744.8501,285.66001,674.77998,37.83329538,345.88425474,662.15002,285.95001,498.4,2805.975,,1063.250282,523.225,515.3
2018-09-03,152.61882563,377.45001,1159.2,1316.0,645.54999,2923.55,274.42,660.01001,30.61663528,351.06553496,664.75,286.54999,526.5,2868.2199,,1021.268082,536.975,514.2375
2018-09-10,146.07178396,380.10001,1116.7,1333.9,636.40002,2877.5,267.22,670.96499,29.5999713,345.65898169,666.40002,277.35001,516.37,2938.375,,1059.46541,535.35,507.4
2018-09-17,134.28709924,361.75,1044.25,1304.75,599.20001,2799.2,237.93999,625.97002,26.71664053,333.85466469,653.20001,275.25,511.25,2794.0199,,1046.965372,542.45,492.5625
2018-09-24,126.67314196,328.89999,1042.25,1293.3,613.25,2687.45,216.8,600.62002,26.76664081,305.0647595,654.04999,266.25,506.13,2418.54,,1017.433408,543.9,501.5125
2018-10-01,126.28515942,301.79999,1057.2,1209.5,568.5,2543.05,202.33,537.56499,26.86663905,269.06614363,636.65002,263.0,478.91,2119.0449,,919.076532,542.0,491.325
2018-10-08,139.52474228,323.14999,1132.0,1261.2,584.90002,2623.05,228.73501,581.35498,28.51663906,261.36178719,622.90002,278.60001,490.1,2390.375,,891.536587,492.57501,495.4625
2018-10-15,163.67604187,315.35001,1121.45,1235.4,562.54999,2510.25,214.05,541.92002,27.69997154,258.88378361,633.79999,275.14999,510.47,2162.5301,,871.26762,479.25,491.9375
2018-10-22,161.73617768,304.10001,1082.85,1190.3,537.70001,2513.75,233.88999,539.92002,29.41663715,268.48043369,603.70001,281.10001,480.91,2180.64,,756.028212,483.29999,490.3
2018-10-29,170.32008646,333.60001,1153.8,1247.0,617.29999,2657.75,239.0,552.52998,31.69996753,272.17489374,606.65002,261.75,483.77,2267.41,,841.237627,502.3,487.5
2018-11-05,161.29970823,337.60001,1148.8,1295.6,613.20001,2693.05,237.53501,570.13999,32.88330101,270.10239067,526.95001,268.45001,480.0,2249.525,,864.544492,513.95,486.35
2018-11-12,156.59553755,347.45001,1233.5,1321.3,619.79999,2695.3501,240.21001,569.56499,30.94996828,299.83843367,530.59998,263.64999,495.41,2473.5,,828.588226,511.1,501.075
2018-11-19,153.73423785,368.14999,1214.25,1314.4,614.54999,2590.3501,238.15,572.30498,31.24996865,295.42309084,517.95001,256.64999,521.74,2410.9051,,839.992604,489.524995,501.375
2018-11-26,160.0387965,365.64999,1264.8,1345.95,625.75,2745.7,253.77,599.43501,27.74997216,282.49240859,540.84998,244.89999,544.44,2340.5301,,862.801459,507.5,532.1125
2018-12-03,148.30260839,373.45001,1209.0,1318.65,603.95001,2786.2,248.63501,584.98999,26.69997255,273.88698697,513.59998,236.75,538.51,2236.925,,799.106034,480.975005,526.9
2018-12-10,152.37634261,368.60001,1248.3,1340.95,620.25,2823.1499,248.63501,617.76499,27.46663978,287.67368881,521.75,247.14999,518.34,2371.615,,843.827307,480.600005,523.925
2018-12-17,154.55868983,361.10001,1252.4,1388.2,620.84998,2808.45,259.125,636.01001,29.46663777,277.44628319,516.65002,252.75,521.61,2359.76,,813.149932,477.225005,527.7875
2018-12-24,156.69253076,387.39999,1241.85,1366.0,625.04999,2717.5,263.48,650.28999,29.29997127,285.24073082,522.0,242.3,524.38,2312.41,,821.317247,479.17499,530.725
2018-12-31,147.96314186,382.14999,1293.0,1385.85,619.59998,2734.2,257.605,641.04502,30.61663528,290.5571929,512.79999,236.5,520.0,2010.36,,802.940737,466.17499,529.3625
2019-01-07,146.94471315,377.14999,1292.7,1403.65,666.5,2720.95,251.42,637.16499,30.68330355,301.95600938,510.20001,232.25,517.63,2050.76,,811.008471,470.024995,527.975
2019-01-14,142.33753568,399.29999,1366.3,1400.45,664.59998,2720.75,254.28999,624.98999,28.78330379,280.37483288,509.39999,230.0,519.36,2012.275,,821.665884,483.149995,532.5625
2019-01-21,133.22018363,373.85001,1292.3,1372.15,669.75,2626.3501,259.955,632.15498,26.7833058,277.08585531,507.64999,220.95,534.48,2004.9949,,756.576012,484.70001,524.0
2019-01-28,138.7002903,338.45001,1341.25,1457.2,717.25,2602.75,262.83999,609.69502,28.19997104,281.00561545,521.34998,223.2,558.25,1966.34,,716.08787,521.925,522.6125
