Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS
2017-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-24,-2.862121999091326,-0.08053470304603642,1.4949870802023826,1.6294308647058653,1.0604572944330701,0.576294789291305,-0.004843456992722589,0.8908688848722256,-0.0766507054787638,0.9290690475942124,-0.47156380288284366,0.1392166729320276,0.28269746766676024,0.2927081079474979,0.0,0.10664136002008721,0.08039624726488885,0.8548495569188924
2017-05-01,0.1787048724536319,0.9824806332644505,0.6098648590108089,0.43562686050169636,-0.38467154568974304,0.2327697576601693,-0.7075464220695656,-1.3723836940906176,-0.9032709880140428,-1.0590579235554505,-0.47606936913758124,0.4046278644981455,0.3783537106345352,-0.5370393910827513,0.0,0.33059993235419505,1.1135456580651875,-1.1488976915633793
2017-05-08,0.3534814903183146,0.5527704880564378,0.7383223199680442,-0.9281746517103127,-0.28611326571355666,1.6478577550795697,0.2483257238635885,-0.7148423487001975,-0.4269767175633068,1.3736566616753023,1.4809364303854917,-0.028969093610002345,-0.010051996038824217,2.516099560290936,0.0,-1.6062691962521316,1.1056608023533527,-0.08021463774416701
2017-05-15,-0.1405400028964276,-0.8337218237667726,-1.1598417981307094,-0.7406564434568512,-0.19279177869539904,-0.8424448768383787,-1.2500248235175535,-1.5244962001112004,-1.2346036152455644,0.33163158653850744,-0.1621270647209932,0.23432074755942792,1.336637830031788,-1.2215702050062047,0.0,-1.1602384710462652,-0.18710878023309316,-0.3125968395804625
2017-05-22,-0.6086965754656422,-0.3228177638480141,-0.963537351780701,-0.017266181612357052,0.5255297625363505,-2.622849385068743,0.280157054163641,-1.10303499585026,-0.09606806855709363,-0.03885463264546677,-3.319650099514323,-0.5559634917814608,-2.55197680547622,0.061423541815307084,0.0,-0.619785528567391,0.7894803132797863,1.393033922189871
2017-05-29,-0.013969789177025922,0.4900572247721364,1.035353947025193,0.7258668109710198,-0.2857341013762769,0.5907954552951431,0.6010935280202296,1.3298898547471663,-0.7488511297482712,-0.12526849592280137,1.9288811555641017,0.44506112302093737,1.934327774854652,0.3747301934179846,0.0,1.2277030759694434,-0.19135775839561237,-0.4775911742975425
2017-06-05,0.9129391776056202,-0.17756614400334508,1.7086269970503598,-0.850150013282069,0.2483684164757699,0.12357811471918857,-0.1189393369855355,-0.5099776923091818,-0.9072184748300255,-0.5142112354121069,0.9535412629606183,-0.5032160085612424,0.9962881662340942,0.20665838099396616,0.0,-1.435808772029478,0.09373851886002478,0.49538430737599576
2017-06-12,-0.27522862731348197,-0.09267961616873119,-1.2196583631773563,-0.829594869402191,-0.16456462704386196,-0.9121705223381987,0.25867151794136467,-0.3401738397050122,0.0441023592538219,-0.2787621958502317,-0.43969434377251165,-0.24314951613983324,0.6938604498724098,-0.9732958346509925,0.0,-0.04631443826138345,-1.285060912881216,-0.6138468852065943
2017-06-19,-0.5003277458413157,-0.18668184790244557,-0.24396765008551724,-0.04445046314649616,-0.431793693773332,0.2481187282064867,-1.0218308747027323,-0.6361778457991927,-1.0241194003926668,0.07226144588864197,0.2909118980402358,-0.8941427345167413,-0.26313881137694267,-1.5519770602296061,0.0,1.1582826504697863,0.7696813462038072,-0.4591764103347066
2017-06-26,0.2511393435473257,-0.5116563613702535,-0.2309884767134216,-2.038237263847705,0.9898037483124266,-0.47378603511679585,-1.3572748284634981,-0.008167019832315915,-0.8048087541296849,1.2103632427485715,0.6415093144894303,0.45737090547675985,0.534870376297042,-0.32103357800851984,0.0,1.3141490806004887,-0.07347343871632737,-1.616539890715223
2017-07-03,-0.03930974551237638,0.4783934327531453,-0.6710185631401915,0.429359485814125,-1.0090897070939695,-1.1651926697612613,0.09119718314403144,-0.06577222364789953,1.4997019471128266,0.3952969124948344,-0.21115013458034113,1.5099705060361972,0.18979015696472878,0.5292481991411532,0.0,-0.13324830460078171,-1.0262606315916014,-0.039952206193565716
2017-07-10,0.1976941899206875,0.04267664054323637,0.017015233083841494,-0.06376308530463201,0.7422678849829506,1.5914863747321353,2.171894935270534,1.3402050953906108,0.3575801865125547,1.6355978011255619,0.14296330478477046,0.3739498392928292,-0.08261649184182367,-0.15833989603629975,0.0,0.14513064593142813,1.1585630401011475,-0.16963464185028604
2017-07-17,-0.03435953425604242,0.31751659001059984,0.1931970643947127,1.3149642659942387,1.8491211104447987,0.08147074116495172,1.870084678178221,1.8372309344929385,-0.5068582973348231,0.01703001656100683,0.7451197893604526,2.0360235443199604,0.5809085310720161,0.676598085883049,0.0,0.19986932009712877,2.321672977753011,0.20622663603757618
2017-07-24,-0.27222564413746203,0.9167294736902114,-0.03310052378391488,-0.28515436078057543,-1.7823570216031313,0.1902226725522123,0.8336518595722365,-0.11891951851765117,1.1823726283785247,-0.2651738233578136,0.05058539185868565,-1.2767013387543649,-2.5130371455172367,0.20983288229836417,0.0,-0.1131954333883376,-0.6566117701689979,1.721838294204022
2017-07-31,-0.1487650708615054,0.6537405903051482,-0.49997501367502883,-0.04089303903494707,-0.4863908280997633,0.6668068937172821,-0.19818721754122812,1.2611796127068113,0.09590456098301606,0.20836025886140042,0.11648891545825919,0.01237058634571297,-1.7441515409453725,1.4070515906422114,0.0,0.9839531788332874,-0.4199868958541834,-0.4056655655691288
2017-08-07,-1.7938016215633912,-2.6552518511113656,-1.0394064483695142,-0.7207861487105423,-1.3476556614522823,-1.2002686636641011,-1.1959659757238041,-1.3724773076145222,-1.606495648110645,-1.097441683271926,-0.9584210935955757,-1.7124457022755368,-1.666470948805652,-1.57476631709,0.0,-1.9436635604023913,-1.153050147165491,-1.8110566031418953
2017-08-14,-0.22100167036029067,-0.04867004799082878,-2.697406186354826,-0.2404188781988752,0.15475224746269012,0.3835109331290176,-0.41700152454726663,1.0162769026078011,2.106554909959594,0.20436632965097254,0.8493106457370332,1.3931805760555427,0.042829710664075205,1.0115340031104028,0.0,0.7048710385439055,-0.0036556146272363342,-0.34984766057212957
2017-08-21,-0.38583488699693863,-0.8875873709403705,0.5299696247210661,-0.18315572380174605,1.2487566127359482,-1.0356234899306025,0.392877768721606,0.44949719581651165,0.857671962668198,0.6410623670738194,0.25460641598593436,0.018032702028005696,1.1522613956643757,-0.7090725105349543,0.0,0.6477417629780539,-0.5881127965934531,-0.17193477058643988
2017-08-28,2.529880547671276,1.2864722173790928,0.4200923079744125,2.6165347386657754,0.031223271011951617,2.3511421211773973,0.09341546292196587,-0.3156226225440427,0.8364237407584477,-1.6568556022145828,-0.20185941855152748,-0.06546158170584093,1.1571866089879441,0.6712821354406828,0.0,0.5245362261509937,-0.157162165873732,-0.3151391090496617
2017-09-04,-0.8083684407481705,-1.1728355388913836,0.26206183801314986,-0.5810960241871227,-0.9638691491485712,0.031219774926717736,0.8976774011769006,-0.009208608422238373,-1.108314689486219,-2.1147522206246867,-0.5590150937065809,2.120760689160945,-0.2068612761360803,0.42645614085425687,0.0,0.47305390086279764,-0.39060482327974755,0.1687875364601461
2017-09-11,0.18616034770804174,1.45623694391086,-0.49561984022735095,1.094764950604438,1.4962807757130143,1.2195493357625307,-0.5866390946035215,-0.16943877287663658,0.16101455310773408,-0.9005945342420679,0.25733853832131576,0.617741313774139,0.49925638253688914,-0.6700893969622471,0.0,0.1674666506337641,1.3225583410436377,1.6192694558376146
